restaurants_name,restaurants_phone,restaurants_users_name,restaurants_users_reviews
Pomodoro,(206) 324-3160,David P.,"Honestly, I think Pomodoro is the best Italian restaurant in Seattle. I've been to fancier places in Seattle, to cheaper places, but the food and people at Pomodoro are second to none.
I used to live in Boston where I was lucky to have experienced authentic Italian food in the North End area of the city. Being able to get home-y Italian food is one of the things I miss the most about Boston and Pomodoro fills that void for me.
The food is no frills, just good food. The owners and staff are genuine and warm. We would highly recommend checking out Pomodoro!"
Pomodoro,(206) 324-3160,Chris A.,"A chef that's cooked for the King of Spain? Sign me up... xD
I've been living in Seattle for almost 10 years and Pomodoro continues to be one of my go to spots for visitors and for when I want to treat myself! Prices are very reasonable and the food and service is amazing.
Pomodoro is an awesome mixture of Spanish Basque and Italian. I've been numerous times, always ordered something new, and have always enjoyed my meal. Also can someone figure out what is in that avocado pesto that is brought to every table? Its so GOOD! xD."
Pomodoro,(206) 324-3160,Thao N.,"First of all, happy birthday to one of my best friend, Jordan!!!
She's the reason why we discovered this restaurant since I never have a reason to be around this Eastlake neighborhood. The restaurant is super cute, small, and intimate, good thing we had a reservation. Food is great, my angel hair pasta just melts in my mouth. I ordered no shrimp because I don't eat seafood and they offered to replace it with mushrooms, wasn't even expecting a replacement. Everybody's food looked so good too, it was freshly made as you can see the hot steam coming in the air while everybody is eating. Service was excellent considering we did came in a large group. They even came outside to take a group photo for us which you already know, it's time consuming when it's all girls xD
There's unlimited bread as appetizers, be careful or you might actually get too full before your entree comes out. Love this place, nice enough for date nights/special occasions and cozy enough if you casually just want some good Italian food for dinner. I hate cooking, good thing I didn't have to last night.
Tell me about your experience if you've been here or is going to after reading this review:)"
Pomodoro,(206) 324-3160,Nicole A.,"I was scrambling to find a place for dinner for 5 people on a Friday night, and luckily Pomodoro came the the rescue! It's a smaller restaurant that has a very intimate vibe with dim lighting and a partially open kitchen.
To start we shared two tapas: the ravioli with hummus and truffle, and the calamari. Of the two, I preferred the calamari. The squid tasted fresh and it was sautéed squid rather than breaded and deep fried squid, which was a pleasant change. In comparison the ravioli was a bit too rich and heavy.
For my entree I opted for the paella and I was happy with my choice! The amount of seafood was abundant and the presentation was pretty. I also enjoyed the seasonings and it was cooked well. The only suggestion I would have would be to get a bit more of a crispy layer in the skillet. The rice seemed like it was cooked into a larger batch and then served in the skillet they brought me, so I was missing the slightly crunchy and smoky bits I love in paella. After a while, the texture can be a bit one-note without them."
Pomodoro,(206) 324-3160,Janhavi B.,"Pomodoro is hands down one of the best Italian restaurants in Seattle. There are fancier ones, but the food and service here are is unparalleled. I would say that Pomodoro is pricier than some others (e.g. Ristorante Machiavelli) but it more than makes up with the personal touch and the fact that you can get a table way more easily! Located on the relatively quiet Eastlake Avenue - it's almost easy to miss, but their handmade pastas, and dessert (tiramisu and creme brulee) are a must-try. Almost every pasta and special I have tried so far has been delicious so I can't recommend anything specific but highlight recommend a visit here! With 1 entree per person, a dessert and a bottle of wine, it may end up costing you close to $40-50 a pop."
Pomodoro,(206) 324-3160,Jordan N.,"I've been here two times already and both times have been amazing! They have free parking behind the restaurant and can make​ reservations online for big parties in advance.
Both times I ordered the Linguine alla Carbonara con Pancetta, which has pork belly and ​light cream. It was very delicious and satisfying to my stomach! Normally I feel so bloated after eating pasta but I ate the whole damn thing! I also had a malbec (red wine) to complement my pasta. There's also a bread appetizer served with some cilantro butter, so yummy!
Last night I came here for my birthday dinner and the staff brought out a tiramisu cake with a candle. The cake was rich in coffee flavor. The staff was also patient with our large party and even split up our checks and took a picture for us!
I love coming here and would love to try new things on their menu when I have another chance. Highly recommended to those who love Italian and Spanish dishes."
Pomodoro,(206) 324-3160,Jacqueline H.,"Came here for a friend's birthday and had a great meal! The restaurant is in a quiet area of Eastlake and is pretty low key. The chef walks around and takes your order and provides some great recommendations. We ordered the portobello mushrooms and octopus as appetizers. Both were delicious! They also bring you bread that comes with a side of pesto - love when Italian restaurants give pesto instead of bread or olive oil!
For the entrees, we ordered the Gnocchi con Salsiccia e Funghi, paella, and Capellini al Aglio con Polpa di Grancio e Tartufo. The paella was really good and came with a good variety of seafood (calamari, mussels, shrimp) and wasn't overly greasy. The capellini was delicious! I loved the crab meat and truffle oil. The gnocchi was good as well, but my least favorite out of the 3. Additionally we tried their tiramisu and it was amazing! Overall, a great Italian restaurant that is super low key but has delicious food. Highly recommend!"
Pomodoro,(206) 324-3160,Heidi L.,"I was looking for a nice date night spot for my boyfriend and I since we were craving Italian food for our anniversary. The restaurant wasn't too busy at the time we came in. The chef, himself stopped by our table asking how our food was, he then recommended a spicy oil that would go well with my special pasta. I love spicy food so that was a pleasant experience and it complimented the food well. Both the pasta dishes were filled with flavor and just danced in our taste pallet. It had us talking about it for the rest of the evening haha. I would definitely comeback for another date night!"
Pomodoro,(206) 324-3160,Lynden L.,"My dining experience at Pomodoro was as a part of a large-party. For those interested in making a large party reservation, they will typically require you to book a time earlier than their normal dinner hours and charge a late/overtime fee if your group shows up late or stays beyond the allocated time.
The service was very friendly throughout the evening and as they were prepared for our party, servers were very prompt as well. They quickly took everyone's individual pasta orders as they sat down and served the caesar salad shortly after. The dressing on the caesar was very flavorful and was not too salty or heavy. It did seem like the lettuce had been sitting in the dressing for a while though-- this might not be an issue with a regular dining experience.
I ordered the Penne alla Vodka, which I believe was the best dish out of the pre-selected options we were given. It was the perfect balance between creamy and tangy. There could've been a bit more sausage or veggies to mix up the texture though. I also had a bite of the Sun Dried Tomato Pesto con Linguine pasta, which was alright, but felt like it was missing a certain 'oomph'. Perhaps some extra spice or citrus (lemon squeeze?) would really brighten it up. The prawns served with the dish were very plump and fresh though!
The tiramisu was average-- we did notice that each piece seemed to have a different flavor profile (more chocolatey, more alcoholic, more coffee) so there was a lack of consistency but the taste was fine."
Pomodoro,(206) 324-3160,Jun Li Z.,"Came here on a date in October 2018. The pasta dishes are great and I recall the service was really good. I recommend coming here on dates or with a friend. The atmosphere is quite chill, low lighting which can be romantic or hard for your partner to see the menu ;)"
Pomodoro,(206) 324-3160,Amanda I.,"I came to Pomodoro the night after an interview to reward myself and unwind a bit. I ordered the Dungeness crab angel hair pasta special and loved it. Though it was pricey, there was a good amount of crab. I believe it also had some black truffles which added great flavor to the simple butter garlic sauce. They also offer a spicy sauce to drizzle on top and I would highly recommend it. It is a bit spicy so maybe ask to try a little on the side first.
For dessert I got the creme brûlée. This is perhaps one of my favorite dessert dishes so I couldn't resist. I was somewhat disappointed. Instead of the creamy center it usually has, this one was much firmer. The flavor was good but the texture was certainly off. The top tasted like a toasted marshmallow which, again, is not quite what one typically looks for in a creme brûlée. But it was good and I ate it up. However for $9 it is definitely not worth the price.
Service here is really good. The owner is very friendly and chatted to me a little about my trip to Seattle. Other employees were very efficient and friendly as well. The check did feel a little rushed at the end but otherwise the service was great!
If you're looking for somewhere to go for a special occasion this would be a really good option. The food is a little pricier but it is delicious. The ambiance creates a more upscale feel and the service is on point."
Pomodoro,(206) 324-3160,Sloan C.,"Went there last Friday night. Although I was late for my reservation, they were nice enough to find a table for me and my friend. Food was great. Ordered linguine with cream and anise sauce and shrimp. The sauce was balanced - flavorful yet not too heavy. The pasta was topped with some grapes, which I found interesting. I also ordered ab octopus side and it was soooo tender. Would definitely come back again to try other items from the menu!"
Pomodoro,(206) 324-3160,Annalise W.,"Love this place. Perfect little neighborhood Italian restaurant. Ideal for date nights, celebrating, or if you're just craving some delicious Italian food. Romantic, intimate, and homey vibe.
Portion sizes are generous and food is always consistently delicious. I love their caesar salad. I always get the same entree, the chicken breast with gorgonzola sauce and pasta with red sauce. It's absolutely amazing! Chicken is tender and juicy. I always have a hard time deciding if I want a creamy white sauce or a zesty tomato sauce and I love this dish because I get the best of both worlds. The chicken is covered in a creamy gorgonzola and the pasta is in a light tomato sauce. Portion size is very generous. They also have a house made chili oil that you can ask for on your pasta. It's too spicy for me, but if you love some heat I recommend. I have also ordered the carbonara, which I recommend. I also highly recommend the tiramisu.
Definitely one of my favorite Italian restaurants in the city! There is also a free covered parking garage that is super convenient."
Pomodoro,(206) 324-3160,Alex O.,"Best fettuccine Alfredo hands down. At least for me. I don't know why but it has such an interesting taste. Different from all the other Alfredo dishes I've had. I just want to eat more and more. It has a Spanish twist to it. If you order it's Polla al Jerez. The tiramisu is also heavenly. I need to stop trying the other desserts and just stick with this one.
The snow crab pasta is also exceptionally good. I need to get this one again. If only I could eat pasta everyday."
Pomodoro,(206) 324-3160,Artemis L.,"I am giving this restaurant five stars despite a couple of unsettling experiences with our waiter. The food is just that good.
My husband took me out to dinner at Pomodoro last night to celebrate my birthday. It is a lovely little restaurant, with creative lighting (red circle lights, tiny twinkling white lights, and warm yellowish-white lights), and crisp white tablecloths.
I had the tomato cream soup, the paella, and I split the dungeness crab linguine with my husband. My husband also had the pork pancetta. My husband is characteristially very unenthusiastic, so when I asked him how his food was and he said ""good"" (he says ""okay"" 95%+ of the time that I ask him this question), I knew that the food was an unusually special experience for him, too!
My food was absolutely outstanding, probably among the top ten meals I've ever eaten. The chef had a lovely long blurb included in the menu about his love for cooking, a few of his famous customers, and his experience as a chef. While I enjoyed reading this blurb, I definitely judged the food on my actual experience of eating it, which was heavenly.
We also ordered a bottle of the Cava Mont Marcal wine. I enthusiastically recommend this wine. It was outstanding.
Our waiter has a very genteel manner, but his memory and attentiveness are unfortunately severely lacking. We arrived fairly late, just after 9pm, and perhaps he'd had a long and busy night before we arrived. He also appeared to be pushing 90 years old.
He smiled a lot and he seemed like he was trying his best, but he basically ignored us for the middle half of our meal. My husband had to literally get up out of his chair three times to go up to him when we needed something. He was just in his own world (also I think partially closing the restaurant, but we just couldn't get his attention for several minutes on end after several tries).
He was respectful and sweet when he did get to us, however, he also brought up four very serious and upsetting topics (communism, genocide, global warming, and immigration), all of which I deeply care about, however, I would prefer very much to focus on lighter, more pleasant conversational topics while eating a celebratory birthday dinner. It was an odd experience - I must say I've actually never had a waiter bring up such topics when dining out.
At the start of our meal, I informed the waiter that I am gluten-free due to a serious medical condition which gluten can aggravate terribly. I was happy to see that there are gluten-free options for many of the dishes, which I requested. He seemed to really listen to that, which is important to me, and I did not flare with my condition after eating my meal.
However, at the end of the night, he brought me out a surprise piece of tiramisu with a flaming birthday candle on it. He had a huge smile on his face and he looked so excited, and I was delighted! However, when he put the piece of tiramisu in front of me I had a scared feeling for a second and asked him, ""Is this gluten-free?"" He said, ""No."" I said, ""I can't eat it then, can you please take it away?"" He said, ""I'm sorry, I didn't know."" I said, ""Yes, you did know, because I told you at the beginning of the meal that I am gluten-free due to a serious medical condition."" He said again, ""I'm sorry, I didn't know."" To be honest, the apology seemed genuine. He seems like a nice person. But it's a little scary that he completely forgot something that could have caused me serious pain.
But then he said, ""well, your husband can eat it then."" I said, ""My husband will not be eating birthday cake in front of me on my birthday that I am not able to eat."" He offered me Spumoni or coffee on the house. I declined.
I feel like he was really trying to make things right, I think he just wasn't getting it. I got upset and asked my husband to pay for our meals and asked my husband to leave a 20% tip to be polite (I usually tip between 23% - 27%). I left the restaurant and waited for my husband in the car while he paid. I feel like the waiter does embody the spirit of service that I look for when I dine out, despite the unsettling errors on his part.
Recommended, but if you are gluten-free maybe double-check more than you usually would. This food is absolutely stunning."
Pomodoro,(206) 324-3160,Jacey H.,"Yes, yes, yes. Great service, cozy little atmosphere. Not pretentious. Everything was perfect."
Pomodoro,(206) 324-3160,Michael G.,"Excellent all around.
We came on a Friday night. Many open tables, but they were committed to upcoming diners, so we were seated at the bar. Our good luck since we got to chat up many people behind the bar.
Interesting menu choices, tapas, full dishes, that start traditional Italian but also have a Spanish twist to many items.
We had veal marsala and vodka penne. The marsala was particularly adventurous. Great wine by the glass choices.
Tiramisu is a have-to-have. Eastlake should be proud to have this in their neighborhood!"
Ristorante Machiavelli,(206) 621-7941,John W.,"What a nice find, downtown Seattle -
I wish local-to-me Italian restaurants could pull off the kind of affordable home-made Italian that this place does, right in downtown Seattle, no less.
If I was local, I'd be coming here quite often - I don't know how they make Italian this low of price, and this high of quality. I would have expected to pay more. Heck, in my town, homemade Italian of any kind is starting at over $20 a plate.
This place is comparable in price to Old Spaghetti Factory and Olive Garden (but obviously is worlds better)."
Ristorante Machiavelli,(206) 621-7941,Ken H.,"This is a treasured establishment that always delivers. It is and shall remain a Seattle favorite.
It is small and quaint and it fills up very quickly.
If you go, go when it opens because it will be full by the time you leave.
Spaghetti and Meatballs are amazing and the veal dishes are out of this world.
They also have a great Caesar salad that you can get the WHITE SPANISH ANCHOVIES with and its worth it.
Friendly, but not always warm and if busy, a feeling of being rushed.
Still, a great spot for good food."
Ristorante Machiavelli,(206) 621-7941,Zachariah H.,"I've been to Machiavelli 3 or 4 times now but my opinion of it goes down each time. While the food + price is 5 stars, the wait time & experience makes me feel miserable. Here's my most recent (Tuesday night!) experience:
I arrive and meet two of my friends who are sitting on a bench in the entry hall. Our 4th friend is running late so we can't put our name down yet. This entry hall is maybe 4 feet wide with a small bench & people streaming in and out past the small horde of people waiting. Claustrophobic. After 10 minutes or so, some seats open up in the slightly less crowded bar area. We sit and it's bearable but not like we actually get anything to drink since a) no one comes by to take such an order & b) we're here to eat Italian food not drink shitty alcohol. The clincher is that after our 4th arrives, I have to jostle for position with the other prospective diners as we flag down a harried receptionist who exasperatedly writes our names on the wait list. After 20 minutes, we're finally ready to begin waiting for a table.
Many other restaurants in Capitol Hill also have bad wait times but they usually also:
- Take a phone number & call/text when the table is ready.
Or
- Let you put your name down before your whole party is there."
Ristorante Machiavelli,(206) 621-7941,Prag R.,"Incredibly LONG wait time. We waited for 2 hours to get a table last night. Wish they accepted phone reservations, wonder how this never bothered them as many Yelpers have given the same feedback!
FOOD-
While waiting for the table, we hung around the bar and ordered few drinks and small plates. They were okay. We ordered the main course as soon as we got seated. The bread was good, soft and fresh. Its free for the first time and you pay on from the second order. We got the Spinach Ravioli and my Veal Saltimbocca and they both were so yummy! Worth the wait time definitely."
Ristorante Machiavelli,(206) 621-7941,Khanh N.,"I am sooo glad I found this cute little place! Shoutout to my boyfriend for finding it on his Yelp search!
This cute little place was packed when we got there around 8pm on a Friday night. We put or name down (they quoted as an hour) and went elsewhere for a drink because the bar area was packed as well. The layout of the restaurant is a bit odd and a little difficult to get in and out with people wait on the bench but I think it adds to its charm. Just be prepared to wait but there are tons of places around to grab a drink or explore :)
We came back an hour later. And they called two names that didn't show and then we were up! They quoted us time perfectly. Going into the restaurant area you can see why it's such a long wait. I think I counted about 14 tables for the entire restaurant.
We sat down. Got bread. We ordered drinks. Drinks came so fast. We got a half carafe of red wine. And then we ordered. And our food came. It was such fast and great service! We felt cared for but also didn't feel like they were bothering us all the time. The bread is from Macrina bakery and it was delish! Our pastas that we got were UNREAL. Such good portions sizes and DELICIOUS.
Best part of this was that it was $44 before tip and we were stuffed and had leftovers. That's definitely a STEAL!!
Probably are new go to date night spot. Seriously love this place."
Ristorante Machiavelli,(206) 621-7941,Nancy W.,"I haven't been here for a few years but still love the place. Very small venue and they don't take reservations so either get there early or plan on a wait. We were here on a Friday night and got to the restaurant about 5:15 and they were just about full, even after opening at 5. As an appetizer we ordered the Bresaola Alla Valtinellese which is cured beef, olive oil and lemon topped with arugula and shaved parmesan cheese. My friend ordered the fettuccine carbonara and I ordered the lasagna bolognese. Both were excellent, although I would have liked to have had more bolognese sauce. Noticed that in between some of the layers of lasagna there was nothing but pasta on top of pasta. Wine was nothing exceptional. Didn't order dessert but now wish I had as they featured a chocolate mousse tiramisu. Big regret there. Small cozy bar with good music."
Ristorante Machiavelli,(206) 621-7941,Danielle D.,"TLDR
I'm Italian and from NY--my standards for Italian food are high.
Seattle has a way of taking any type of soul food & making it unapproachable, so when searching through all of the restaurants I was reluctant.
I was given a few Italian restaurant suggestions, but they all were an abrupt ""no"". Through my own search, I found Machievelli. I was hesitant at first--bc yelp photos make it seem like a pizza shop--but
Took a chance.
I was blown away.
There are TWO rooms, a bar area /waiting room and a romantically lit dining room.
Tiny, but the feel and smell brought back NY memories.
I was seated with bread. Thank goodness. Put away 3 plates myself.
Gave them additional tests & ordered the traditional antipast, eggplant parm, & tiramisu.
WAS NOT DISAPPOINTED!
They are a restaurant I will forever go to --and send people to!
Bring cash trust me.
Oh man I loved this restaurant."
Ristorante Machiavelli,(206) 621-7941,Janhavi B.,"My new go-to for a casual Italian dine-out experience. Authentic, delicious and not unnecessarily expensive (unlike most Italian joints in town). We were 3 people and shared the red pepper penne with shrimp, the carbonara and a half-carafe of wine! We ended up paying about $25 a pop. You can expect a long wait given its location in Capitol Hill but you can wait with a drink in the bar area and should get in within 30- 45 minutes. All in all - highly recommend for an amazing Italian fare!"
Ristorante Machiavelli,(206) 621-7941,Isaiah G.,A friend referred me here. We we're in Seattle and our hotel was only two blocks away. We decided to come here for valentines. I can't really judge the wait based on going on the busiest holiday in the year. The is a small but really cute restaurant. As soon as you walk in there's a bench you can sit at if you need to wait. There's a good size bar with tables to the right. Up two steps is the hostess. Once you go to what is considered the second floor it's a small restaurant. I almost felt like I was in a home. The bread and oil they gave with the bread was really good. I ordered a Cesar salad that was pretty good too. My husband ordered your typical spaghetti and meat balls. To my surprise it was pretty authentic and very delicious. I ordered pasta with a white sauce and prawns. My dish was just as good if not better. The service was very good and professional. I would definitely be returning.
Ristorante Machiavelli,(206) 621-7941,Jenny C.,"Machiavelli is a good basic Italian place that is very popular with the locals. There is almost always a wait but we showed up after 8pm on the Saturday and only waited 20 minutes so that was reasonable. The server promptly brought us ice water and Columbia City bread. The bread was definitely fresh with a soft interior and a chewy crust. The dipping sauce is unique too and sold in bottles for $6.50. The wines by the glass were reasonably priced at $7.50-$8.50 per glass.
We ordered the Linguine alle Vongole $12.95 and the Fettucine Carbonara $13.95. My favorite was the linguine. The linguine had a very flavorful spicy garlic red sauce. On the other hand, the carbonara sauce lacked salt despite the bacon and the pasta was served lukewarm which detracted from our enjoyment of it. Oddly enough, the carbonara had a smaller portion size too compared to the linguine despite being the pricier entree.
Two options were available for dessert tonight: housemade tiramisu or vanilla cheesecake. We opted for the tiramisu and were not disappointed. The ladyfingers were soaked with the perfect amount of liquid and had a good coffee flavor without being soggy. The whipped mascarpone on top was a nice touch. Normally tiramisu is layers of mascarpone and ladyfingers alternating but Machiavelli does it differently and I like how there is less cream than usual.
This is a solid place and service was good so we will definitely be back but skipping the carbonara."
Ristorante Machiavelli,(206) 621-7941,Dione L.,"Me and my boyfriend always walk by this restaurant and have been dying to go. We finally made it over here and literally probably MY FAVORITE italian spot in seattle.
The staff/ service was fantastic. The restaurant was super cozy and fun. The food is super reasonable and portions were good.
The pasta was super fresh i got the spaghetti with garlic and olive oil. Super light and good flavors. I'm going to have dreams about this pasta no joke!
10/10 come"
Ristorante Machiavelli,(206) 621-7941,Carol B.,"Honestly, how can you not love this place. It's the perfect place for authentic Italian food and it's so cheap! We've tried so many different dishes here and love each and every one. If I had to make one recommendation, it would be to try the linguine and clams. Don't forget a wine pairing!
Full warning, there's essentially no parking in this area of capitol hill so you should walk or take a ride share. There's almost always a wait, so plan accordingly. The inside is quite small which means it gets loud quickly, but again it's all worth it. We can't stay away"
Ristorante Machiavelli,(206) 621-7941,Victoria H.,"Machiavelli was amazing! It is truly a little Italian treasure on Capitol Hill! I have lived in the neighborhood for a while, but recently decided to try it out and so glad I did!
The only reason I am giving four stars instead of five was the LONG wait. Otherwise, it's a fantastic restaurant! The servers and hostess were all really nice and the food is DELICIOUS. It was definitely some of the greatest Italian food that I have had in Seattle! I really enjoyed the vibe of the restaurant as well. Very hip and casual.
Myself and my friend both had the Chicken Parmigiana and we loved it! It was cooked to perfection and had a layer of sauce over it that was amazing! The cheese melted on top was delicious as well, and to top it off the ground parmesan cheese on top of it made it everything! The spaghetti that came as a sodr dish was delicious as well!
For dessert, I had their in-house made vanilla bean cheesecake, which was phenomenal. It had a Graham cracker crust that just melts in your mouth. One of the best tasting cheesecakes I have ever had!
I definitely enjoyed Machiavelli and I will be returning. :) Please note, if you go on a weekend night, please be prepared to wait a while. However, your wait will be worth it! :)"
Ristorante Machiavelli,(206) 621-7941,Nita L.,"TLDR: Amazing food, cheap prices, ridiculously long wait times for both food and a table.
Food: You get a free serving of bread for the table which was fresh and soft, also much needed because the wait for food was really long. We ordered a half carafe of the house wine to drink, the spinach ravioli - which was creamy and well cooked and my ultimate favorite- The chicken liver lasagne. The chicken liver lasagne takes 25 mins to cook and every bite of it is well worth the wait.
Ambience & Service: This is a cozy restaurant with limited seating so the wait times here are incredibly long. I had to wait for more than an hour to get a table for 2. They don't accept phone reservations either. You can chill at the bar while you wait.
Cost: This is where this restaurant won me over. Cost us just 46$ for a dinner for two people that included 2 glasses of wine per person and 2 entrees. This is a very decent price to pay for the quality of food you get here.
My only complaint is the wait times involved. Else this place is awesome!"
Ristorante Machiavelli,(206) 621-7941,Michael G.,"Trattoria atmosphere, large menu, passable service in a very busy location. Tight tables make for a loud atmosphere.
Extensive menu. We had the eggplant and tortellini with creme sauce, both were spot on. There are so many Italian joints in this general area, this is a good choice for the price. Carafe wine was decent.
We will return."
Ristorante Machiavelli,(206) 621-7941,Jenn N.,"We had to wait 1hr, but the food was really worth it.
The Caesar salad with white anchovies was EXCELLENT. Probably the best salad I've ever had, thought it may or may not have been caused by the 1hr wait time. Anyway, the white anchovy add on is a must.
For the main course, I got the chicken liver lasagna. It was delicious, but I also like eating organs (fair warning for those who don't like eating organs normally and want to see if they'd like it. You won't because the distinct flavor was definitely still there)."
Ristorante Machiavelli,(206) 621-7941,Tom B.,"I've eaten here 18 years now. Moved away, but every time I come back to Seattle, this is a must. Cozy and delicious. Chicken Piccata
fresh lemon, capers, sweet butter - my personal favourite with a side of spaghetti. Oh man. I need to get back up there! Well done you."
Ristorante Machiavelli,(206) 621-7941,Elizabeth K.,"I absolutely loved my meal here! I was in the mood for a more basic pasta dish, something like plain spaghetti with marinara, and Machiavelli offered that. However, I was delighted to end up enjoying the red pepper pasta. It was creamy and full of flavor - perhaps the best pasta I've ever had. After my first bite, I thought, ""can I come here again tomorrow?"" I also got the mixed greens salad, which was served with a great dressing.
The restaurant was busy, but the wait staff was attentive and friendly. One of the staff members took some photos of a group that had finished dining, even though the restaurant was pretty busy. I thought that was kind."
Ristorante Machiavelli,(206) 621-7941,Sou M.,"My friend was craving carbs a few nights ago and she loves italian, so we looked this place up and decided to go.
When we got there, there was a 30-40 mins wait time (on a Tuesday). We were waiting at the bar area and asked the server if we can just order food or appetizers at the bar and she said we can do that. The bartender, however, denied to take our food order or even showing us the menu!
After finally getting the table, we ordered an eggplant parmesan and a penne pasta with red pepper and walnut. They served complementary olive bread with a mix of olive oil and balsamic vinaigrette which we loved!
The eggplant parmesan was just ok, it was too cheesy and not as breaded as we like. The pasta was really good and creamy.
The server was nice and attentive. The ambience is old and cosy, with dim lighting. The wait time for food was long. The value for price is good since the portions are big."
Ristorante Machiavelli,(206) 621-7941,Pinky P.,"This place was recommended to us by family who lives close by. And thank heaven they did! When we first walked in, I was scared we wouldn't get a table. Always a good sign in my book when a restaurant is packed but even a better sign when it's a random Tuesday night!
The service was incredible from the minute we walked in. Everyone was so friendly.
We ordered the chicken parmigiana and the spinach ravioli. The ravioli was delicious and they didn't skimp on the tomato cream sauce. Pretty delicious. The chicken parmigiana blew our minds! We both decided it was by far THE BEST we have ever had! The sauce was so perfect and the chicken portion was perfect. Usually it's too thick and you loose the flavors eating the chicken.
Last we had the chocolate mousse tiramisu. It was also good. I preferred the moose over the rum dipped lady fingers.
The only slight improvement would be the bread in the beginning (which was complimentary). It was really hard and chewy but really does not matter with everything else being so amazing! Go eat the chicken parm here! You won't regret it!"
Tavolàta,(206) 838-8008,Phil G.,"A week ago, we were told Tavolata wouldn't do take out. I phoned tonight, 3/13/2020, and sure enough, Tavolàta was happy to have us pick up food. We have been on a social distance quarantine since the Coronavirus pandemic erupted. I guess other people aren't reading the same research I am. People were out and about, in spite of the rain, and in spite of any contagious virus. The bars on 2nd Avenue were full, including the bar at Tavolàta. I felt foolish, locking myself inside all week, but then again, my age is susceptible to complications if I contract the Coronavirus. Foolish, paranoid, overly cautious, vigilant, better safe than sorry; who knows?
The food from Tavolàta was good. Our rigatoni and pappardelle pastas were good. The Arancini balls were a bit bland for my taste. Carpaccio was okay. Bread was well baked. Prices were Seattle high - $100 for this meal. Expensive, but there isn't much choice in the Emerald City. This is not an egalitarian city anymore."
Tavolàta,(206) 838-8008,Brian B.,Great service! Great food! Definitely Italy recommend the knoche! My wife and I will definitely be back
Tavolàta,(206) 838-8008,Maia R.,"Terribly disappointing experience, and had it not been for our waitress, this would be one star. I had made our reservations the day Valentine's Day reservations opened and the menu posted at Tavolata. Despite our early booking, we were seated in the very center of a communal table (that, as I recall, I had specifically requested to avoid). The table was too loud for me and my boyfriend to even speak to each other, so we requested to be moved to another table. Meanwhile there were several other couples at their own tables, including one couple at a 4-top. They sat us at the bar, which was fine.
Once we were seated at the bar, we reviewed the menu. The menu in our hands had almost entirely different courses for the pasta and entree from what Tavolata had posted online and the menu we had so been looking forward to. This was incredibly disappointing and deceptive in my opinion.
Our waitress at the bar was lovely (blonde curly hair and tall). But the servers left dirty plates on our spot for too long (I had to ask them to clear the appetizer plates) and they did not seem appropriately trained. I overheard one server saying it was his third day at the job, and the hosts (we were sitting directly next to them) were cursing and mocking some of the patrons to each other by the end of our dinner.
Also, our ticket for our 2nd and 3rd courses ""got lost."" We waited over 1.5 hours for our pasta course after getting the appetizers. When our waitress told us this, she was apologetic but didn't offer any recourse until I asked her if we could have more wine since we had drank the glass that was supposed to be paired with our course. She was happy to oblige but it was pretty clear all we would have gotten was an apology otherwise. When we finally got our pasta, it was cold.
The food was okay. Porchetta was way too salty with huge salt crystals and peppercorns intact that made a difficult texture to chew. If they had had their promised menu I would have ordered the lobster (by the way, Tavolata, don't promise this as a menu item if you aren't positive you'll get it. We had thought about going to the lobster dinner at Derby but didn't because we saw we would get lobster on this menu. What a waste.) Mushroom ravioli was okay but not what I was looking forward to going into the meal. Port wine pairing was cheap and too sweet. 2.5 hours later we left our meal feeling unsatisfied and disappointed.
I've had quite a few experiences with Tavolata before this, but after being so disappointed with this deceptive and uncomfortable experience, I will never be returning."
Tavolàta,(206) 838-8008,Zachary H.,"My gf and I went here for our anniversary.
We were hoping to get the happy hour deals but the bar was full so we sat at a table. It's a bit annoying that the happy hour is only offered at the bar and not at the tables. If I sat 3 feet away from my table seat my dinner would've been deeply discounted for the same food. Oh well.
Upon being seated, the waiter gave us each a small glass of champagne and wished us a happy anniversary. That was a kind gesture and was appreciated. We ordered some drinks and our meals and waited in anticipation. I ordered the pappardelle and my gf got a carbonara dish. The food was stellar. When it arrived at the table it was one of those dishes that doesn't look like a lot of food until you start eating it. We also ordered the bruschetta with smoked salmon. It was tasty but I'd probably try another appetizer next time.
The service was exceptional and food was awesome. I hope to return at some point and hopefully get a spot at the bar for happy hour!"
